address_id,full_address,house_number,street,ward,district,city,latitude,longitude,aliases,notes
ADDR040,"172 Lê Duẩn, Tân Bình, TP Hồ Chí Minh",172,Lê Duẩn,,Tân Bình,TP Hồ Chí Minh,10.808795,106.649258,"172 lê duẩn, tân bình, tp hồ chí minh | 172 lê duẩn tân bình tp hồ chí minh | lê duẩn tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR041,"206 Lý Thường Kiệt, Tân Bình, TP Hồ Chí Minh",206,Lý Thường Kiệt,,Tân Bình,TP Hồ Chí Minh,10.814957,106.663429,"206 lý thường kiệt, tân bình, tp hồ chí minh | 206 lý thường kiệt tân bình tp hồ chí minh | lý thường kiệt tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR042,"21 Điện Biên Phủ, Hoàn Kiếm, Hà Nội",21,Điện Biên Phủ,,Hoàn Kiếm,Hà Nội,21.046794,105.871692,"21 điện biên phủ, hoàn kiếm, hà nội | 21 điện biên phủ hoàn kiếm hà nội | điện biên phủ hoàn kiếm","Có thể nhập HN, Ha Noi"
ADDR043,"241 Láng Hạ, Sơn Trà, Đà Nẵng",241,Láng Hạ,,Sơn Trà,Đà Nẵng,16.104982,108.237234,"241 láng hạ, sơn trà, đà nẵng | 241 láng hạ sơn trà đà nẵng | láng hạ sơn trà","Có thể nhập ĐN, Da Nang"
ADDR044,"138 Trần Hưng Đạo, Đống Đa, Hà Nội",138,Trần Hưng Đạo,,Đống Đa,Hà Nội,21.021582,105.829528,"138 trần hưng đạo, đống đa, hà nội | 138 trần hưng đạo đống đa hà nội | trần hưng đạo đống đa","Có thể nhập HN, Ha Noi"
ADDR045,"161 Xuân Thủy, Quận 1, TP Hồ Chí Minh",161,Xuân Thủy,,Quận 1,TP Hồ Chí Minh,10.79336,106.694835,"161 xuân thủy, q 1, tp hồ chí minh | 161 xuân thủy q 1 tp hồ chí minh | xuân thủy quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR046,"109 Lý Thường Kiệt, Ngũ Hành Sơn, Đà Nẵng",109,Lý Thường Kiệt,,Ngũ Hành Sơn,Đà Nẵng,16.019171,108.283796,"109 lý thường kiệt, ngũ hành sơn, đà nẵng | 109 lý thường kiệt ngũ hành sơn đà nẵng | lý thường kiệt ngũ hành sơn","Có thể nhập ĐN, Da Nang"
ADDR047,"181 Nguyễn Chí Thanh, Quận 1, TP Hồ Chí Minh",181,Nguyễn Chí Thanh,,Quận 1,TP Hồ Chí Minh,10.782826,106.710212,"181 nguyễn chí thanh, q 1, tp hồ chí minh | 181 nguyễn chí thanh q 1 tp hồ chí minh | nguyễn chí thanh quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR048,"33 Lê Duẩn, Bình Thạnh, TP Hồ Chí Minh",33,Lê Duẩn,,Bình Thạnh,TP Hồ Chí Minh,10.829525,106.692849,"33 lê duẩn, bình thạnh, tp hồ chí minh | 33 lê duẩn bình thạnh tp hồ chí minh | lê duẩn bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR049,"284 Lê Duẩn, Bình Thạnh, TP Hồ Chí Minh",284,Lê Duẩn,,Bình Thạnh,TP Hồ Chí Minh,10.797088,106.704673,"284 lê duẩn, bình thạnh, tp hồ chí minh | 284 lê duẩn bình thạnh tp hồ chí minh | lê duẩn bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR050,"64 Nguyễn Trãi, Quận 7, TP Hồ Chí Minh",64,Nguyễn Trãi,,Quận 7,TP Hồ Chí Minh,10.732633,106.705908,"64 nguyễn trãi, q 7, tp hồ chí minh | 64 nguyễn trãi q 7 tp hồ chí minh | nguyễn trãi quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR051,"12 Bạch Đằng, Sơn Trà, Đà Nẵng",12,Bạch Đằng,,Sơn Trà,Đà Nẵng,16.092035,108.24844,"12 bạch đằng, sơn trà, đà nẵng | 12 bạch đằng sơn trà đà nẵng | bạch đằng sơn trà","Có thể nhập ĐN, Da Nang"
ADDR052,"93 Pasteur, Cầu Giấy, Hà Nội",93,Pasteur,,Cầu Giấy,Hà Nội,21.041143,105.774164,"93 pasteur, cầu giấy, hà nội | 93 pasteur cầu giấy hà nội | pasteur cầu giấy","Có thể nhập HN, Ha Noi"
ADDR053,"1 Hùng Vương, Quận 1, TP Hồ Chí Minh",1,Hùng Vương,,Quận 1,TP Hồ Chí Minh,10.762154,106.698466,"1 hùng vương, q 1, tp hồ chí minh | 1 hùng vương q 1 tp hồ chí minh | hùng vương quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR054,"201 Lý Thường Kiệt, Đống Đa, Hà Nội",201,Lý Thường Kiệt,,Đống Đa,Hà Nội,21.017716,105.840212,"201 lý thường kiệt, đống đa, hà nội | 201 lý thường kiệt đống đa hà nội | lý thường kiệt đống đa","Có thể nhập HN, Ha Noi"
ADDR055,"127 Pasteur, Quận 7, TP Hồ Chí Minh",127,Pasteur,,Quận 7,TP Hồ Chí Minh,10.729884,106.705137,"127 pasteur, q 7, tp hồ chí minh | 127 pasteur q 7 tp hồ chí minh | pasteur quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR056,"181 Trần Hưng Đạo, Cầu Giấy, Hà Nội",181,Trần Hưng Đạo,,Cầu Giấy,Hà Nội,21.045544,105.803944,"181 trần hưng đạo, cầu giấy, hà nội | 181 trần hưng đạo cầu giấy hà nội | trần hưng đạo cầu giấy","Có thể nhập HN, Ha Noi"
ADDR057,"117 Lý Thường Kiệt, Bình Thạnh, TP Hồ Chí Minh",117,Lý Thường Kiệt,,Bình Thạnh,TP Hồ Chí Minh,10.815703,106.69244,"117 lý thường kiệt, bình thạnh, tp hồ chí minh | 117 lý thường kiệt bình thạnh tp hồ chí minh | lý thường kiệt bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR058,"244 Nguyễn Trãi, Quận 7, TP Hồ Chí Minh",244,Nguyễn Trãi,,Quận 7,TP Hồ Chí Minh,10.735768,106.740872,"244 nguyễn trãi, q 7, tp hồ chí minh | 244 nguyễn trãi q 7 tp hồ chí minh | nguyễn trãi quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR059,"104 Lê Lợi, Cầu Giấy, Hà Nội",104,Lê Lợi,,Cầu Giấy,Hà Nội,21.029811,105.785296,"104 lê lợi, cầu giấy, hà nội | 104 lê lợi cầu giấy hà nội | lê lợi cầu giấy","Có thể nhập HN, Ha Noi"
ADDR060,"195 Nguyễn Chí Thanh, Tân Bình, TP Hồ Chí Minh",195,Nguyễn Chí Thanh,,Tân Bình,TP Hồ Chí Minh,10.818914,106.657121,"195 nguyễn chí thanh, tân bình, tp hồ chí minh | 195 nguyễn chí thanh tân bình tp hồ chí minh | nguyễn chí thanh tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR061,"36 Nam Kỳ Khởi Nghĩa, Hải Châu, Đà Nẵng",36,Nam Kỳ Khởi Nghĩa,,Hải Châu,Đà Nẵng,16.053673,108.202439,"36 nam kỳ khởi nghĩa, hải châu, đà nẵng | 36 nam kỳ khởi nghĩa hải châu đà nẵng | nam kỳ khởi nghĩa hải châu","Có thể nhập ĐN, Da Nang"
ADDR062,"38 Kim Mã, Đống Đa, Hà Nội",38,Kim Mã,,Đống Đa,Hà Nội,21.008129,105.817173,"38 kim mã, đống đa, hà nội | 38 kim mã đống đa hà nội | kim mã đống đa","Có thể nhập HN, Ha Noi"
ADDR063,"228 Láng Hạ, Quận 7, TP Hồ Chí Minh",228,Láng Hạ,,Quận 7,TP Hồ Chí Minh,10.739547,106.734327,"228 láng hạ, q 7, tp hồ chí minh | 228 láng hạ q 7 tp hồ chí minh | láng hạ quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR064,"190 Bạch Đằng, Hải Châu, Đà Nẵng",190,Bạch Đằng,,Hải Châu,Đà Nẵng,16.084851,108.239169,"190 bạch đằng, hải châu, đà nẵng | 190 bạch đằng hải châu đà nẵng | bạch đằng hải châu","Có thể nhập ĐN, Da Nang"
ADDR065,"139 Võ Nguyên Giáp, Tân Bình, TP Hồ Chí Minh",139,Võ Nguyên Giáp,,Tân Bình,TP Hồ Chí Minh,10.786373,106.670998,"139 võ nguyên giáp, tân bình, tp hồ chí minh | 139 võ nguyên giáp tân bình tp hồ chí minh | võ nguyên giáp tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR066,"49 Hùng Vương, Ba Đình, Hà Nội",49,Hùng Vương,,Ba Đình,Hà Nội,21.02219,105.839297,"49 hùng vương, ba đình, hà nội | 49 hùng vương ba đình hà nội | hùng vương ba đình","Có thể nhập HN, Ha Noi"
ADDR067,"71 Nam Kỳ Khởi Nghĩa, Quận 7, TP Hồ Chí Minh",71,Nam Kỳ Khởi Nghĩa,,Quận 7,TP Hồ Chí Minh,10.733506,106.715267,"71 nam kỳ khởi nghĩa, q 7, tp hồ chí minh | 71 nam kỳ khởi nghĩa q 7 tp hồ chí minh | nam kỳ khởi nghĩa quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR068,"62 Pasteur, Bình Thạnh, TP Hồ Chí Minh",62,Pasteur,,Bình Thạnh,TP Hồ Chí Minh,10.802773,106.689763,"62 pasteur, bình thạnh, tp hồ chí minh | 62 pasteur bình thạnh tp hồ chí minh | pasteur bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR069,"267 Trường Sơn, Sơn Trà, Đà Nẵng",267,Trường Sơn,,Sơn Trà,Đà Nẵng,16.116026,108.239938,"267 trường sơn, sơn trà, đà nẵng | 267 trường sơn sơn trà đà nẵng | trường sơn sơn trà","Có thể nhập ĐN, Da Nang"
ADDR070,"194 Trường Sơn, Cầu Giấy, Hà Nội",194,Trường Sơn,,Cầu Giấy,Hà Nội,21.052803,105.794918,"194 trường sơn, cầu giấy, hà nội | 194 trường sơn cầu giấy hà nội | trường sơn cầu giấy","Có thể nhập HN, Ha Noi"
ADDR071,"95 Cách Mạng Tháng Tám, Ba Đình, Hà Nội",95,Cách Mạng Tháng Tám,,Ba Đình,Hà Nội,21.040145,105.822909,"95 cách mạng tháng tám, ba đình, hà nội | 95 cách mạng tháng tám ba đình hà nội | cách mạng tháng tám ba đình","Có thể nhập HN, Ha Noi"
ADDR072,"251 Trường Sơn, Tân Bình, TP Hồ Chí Minh",251,Trường Sơn,,Tân Bình,TP Hồ Chí Minh,10.818505,106.6421,"251 trường sơn, tân bình, tp hồ chí minh | 251 trường sơn tân bình tp hồ chí minh | trường sơn tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR073,"170 Lý Thường Kiệt, Hoàn Kiếm, Hà Nội",170,Lý Thường Kiệt,,Hoàn Kiếm,Hà Nội,21.042933,105.837482,"170 lý thường kiệt, hoàn kiếm, hà nội | 170 lý thường kiệt hoàn kiếm hà nội | lý thường kiệt hoàn kiếm","Có thể nhập HN, Ha Noi"
ADDR074,"223 Phạm Văn Đồng, Cầu Giấy, Hà Nội",223,Phạm Văn Đồng,,Cầu Giấy,Hà Nội,21.027584,105.777482,"223 phạm văn đồng, cầu giấy, hà nội | 223 phạm văn đồng cầu giấy hà nội | phạm văn đồng cầu giấy","Có thể nhập HN, Ha Noi"
ADDR075,"157 Trần Hưng Đạo, Cầu Giấy, Hà Nội",157,Trần Hưng Đạo,,Cầu Giấy,Hà Nội,21.033764,105.777194,"157 trần hưng đạo, cầu giấy, hà nội | 157 trần hưng đạo cầu giấy hà nội | trần hưng đạo cầu giấy","Có thể nhập HN, Ha Noi"
ADDR076,"149 Bạch Đằng, Ngũ Hành Sơn, Đà Nẵng",149,Bạch Đằng,,Ngũ Hành Sơn,Đà Nẵng,16.011113,108.250047,"149 bạch đằng, ngũ hành sơn, đà nẵng | 149 bạch đằng ngũ hành sơn đà nẵng | bạch đằng ngũ hành sơn","Có thể nhập ĐN, Da Nang"
ADDR077,"203 Nguyễn Huệ, Ngũ Hành Sơn, Đà Nẵng",203,Nguyễn Huệ,,Ngũ Hành Sơn,Đà Nẵng,16.010497,108.249065,"203 nguyễn huệ, ngũ hành sơn, đà nẵng | 203 nguyễn huệ ngũ hành sơn đà nẵng | nguyễn huệ ngũ hành sơn","Có thể nhập ĐN, Da Nang"
ADDR078,"140 Trần Hưng Đạo, Cầu Giấy, Hà Nội",140,Trần Hưng Đạo,,Cầu Giấy,Hà Nội,21.036759,105.783781,"140 trần hưng đạo, cầu giấy, hà nội | 140 trần hưng đạo cầu giấy hà nội | trần hưng đạo cầu giấy","Có thể nhập HN, Ha Noi"
ADDR079,"112 Lê Lợi, Tân Bình, TP Hồ Chí Minh",112,Lê Lợi,,Tân Bình,TP Hồ Chí Minh,10.817029,106.664997,"112 lê lợi, tân bình, tp hồ chí minh | 112 lê lợi tân bình tp hồ chí minh | lê lợi tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR080,"88 Hai Bà Trưng, Quận 7, TP Hồ Chí Minh",88,Hai Bà Trưng,,Quận 7,TP Hồ Chí Minh,10.733773,106.705788,"88 hai bà trưng, q 7, tp hồ chí minh | 88 hai bà trưng q 7 tp hồ chí minh | hai bà trưng quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR081,"69 Lê Duẩn, Quận 7, TP Hồ Chí Minh",69,Lê Duẩn,,Quận 7,TP Hồ Chí Minh,10.726166,106.701508,"69 lê duẩn, q 7, tp hồ chí minh | 69 lê duẩn q 7 tp hồ chí minh | lê duẩn quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR082,"180 Phạm Văn Đồng, Quận 3, TP Hồ Chí Minh",180,Phạm Văn Đồng,,Quận 3,TP Hồ Chí Minh,10.784053,106.670623,"180 phạm văn đồng, q 3, tp hồ chí minh | 180 phạm văn đồng q 3 tp hồ chí minh | phạm văn đồng quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR083,"128 Điện Biên Phủ, Hoàn Kiếm, Hà Nội",128,Điện Biên Phủ,,Hoàn Kiếm,Hà Nội,21.016296,105.873961,"128 điện biên phủ, hoàn kiếm, hà nội | 128 điện biên phủ hoàn kiếm hà nội | điện biên phủ hoàn kiếm","Có thể nhập HN, Ha Noi"
